AccNum,GeneName,txReads2,txRPKM2,cdReads2,cdRPKM2
NM_007192,SUPT16H,174.0,27.6122784208,128.0,30.2619782102
NM_003129,SQLE,79.0,19.6458606033,33.0,14.2198404133
NM_001320470,BCAS3,31.0,6.1332459498,22.0,5.86753371917
NM_001320473,SMCO1,0.0,-,0.0,-
NM_005218,DEFB1,0.0,-,0.0,-
NM_021002,IFNA6,0.0,-,0.0,-
NM_021003,PPM1A,27.0,2.44629030647,10.0,6.46918920615
NM_138394,HNRNPLL,105.0,25.7158264177,78.0,35.5912630469
NM_021006,CCL3L1,0.0,-,0.0,-
NM_021007,SCN2A,0.0,-,0.0,-
NM_021004,DHRS4,5.0,2.86108483367,4.0,3.55225729886
NM_021005,NR2F2,14.0,2.03646531448,6.0,3.58221609536
NM_173551,ANKS6,64.0,6.62837254373,39.0,11.0814540335
NM_173552,C3orf58,13.0,2.21883534265,7.0,4.02410586118
NM_183240,TMEM37,0.0,-,0.0,-
NM_173554,CABCOCO1,0.0,-,0.0,-
NM_173555,TYSND1,18.0,3.52279544923,12.0,5.24380839356
NM_173556,CCDC83,1.0,0.315362681284,0.0,-
NM_173557,RNF152,11.0,4.52986605964,6.0,7.28735137046
NM_173558,FGD2,0.0,-,0.0,-
NM_182552,WDR27,30.0,6.20804431893,20.0,5.53057916508
NM_001349977,RASGRP3,3.0,0.454809202399,2.0,0.717134432983
NM_001347848,FAM13C,0.0,-,0.0,-
NM_001306210,TGFBR1,170.0,19.359992763,69.0,33.6537919589
NM_182553,CNIH2,16.0,8.77061757861,7.0,10.7726063737
NM_152485,C1orf74,8.0,1.22481538997,3.0,2.75299940662
NM_001001973,ATP5F1C,102.0,64.6907881043,68.0,56.3490179549
NM_198887,NUP43,72.0,13.8183084081,40.0,26.0125928184
NM_001146288,AIFM3,0.0,-,0.0,-
NM_001172109,SENP8,2.0,0.810588702058,1.0,1.1632391859
NM_001242757,SLC22A31,0.0,-,0.0,-
NM_001286606,CRACR2B,2.0,0.812360480642,2.0,1.23884973298
NM_001005195,OR8B12,0.0,-,0.0,-
NM_001278595,MCM7,2343.0,564.529969083,1440.0,655.861623341
NM_001261430,PTGES3L,0.0,-,0.0,-
NM_002565,P2RY4,0.0,-,0.0,-
NM_001261435,CDK15,4.0,0.812582497717,3.0,1.72862753439
NM_001261434,AARSD1,0.0,-,0.0,-
NM_001145065,CCSER1,0.0,-,0.0,-
NM_001145064,CASTOR2,0.0,-,0.0,-
NM_182985,TRIM69,0.0,-,0.0,-
NM_175623,RAB3IP,18.0,1.38705962224,14.0,7.27207390428
NM_182983,HPN,0.0,-,0.0,-
NM_006291,TNFAIP2,99.0,17.6257902129,61.0,23.0747583852
NM_182981,OSGIN1,8.0,3.06519521562,7.0,3.62843018027
NM_006293,TYRO3,51.0,9.54641194388,41.0,11.4013106739
NM_153325,DEFB125,0.0,-,0.0,-
NM_153324,DEFB123,0.0,-,0.0,-
NM_153320,SLC22A7,0.0,-,0.0,-
NM_001286706,UFM1,24.0,5.39607869174,1.0,3.44124925827
NM_003403,YY1,255.0,60.0012691186,172.0,102.690194734
NM_001039948,SGSM1,1.0,0.121376525112,1.0,0.215639640205
NM_004830,MED23,46.0,6.52773055178,37.0,6.69648504313
NM_004831,MED26,43.0,10.0384180625,34.0,14.0169354147
NM_004836,EIF2AK3,64.0,10.2327016017,52.0,11.5345006472
NM_006120,HLA-DMA,0.0,-,0.0,-
NM_001355230,MFSD14C,3.0,1.18361439457,0.0,-
NM_006693,CPSF4,293.0,119.010810414,172.0,157.838632646
NM_001251888,ASPSCR1,69.0,24.135707739,64.0,24.4711058366
NM_138775,ALKBH8,36.0,6.57958058331,24.0,8.9420732606
NM_001251882,VIPR1,0.0,-,0.0,-
NM_139012,MAPK14,96.0,16.3927738616,21.0,14.4132101898
NM_003044,SLC6A12,0.0,-,0.0,-
NM_005406,ROCK1,62.0,6.93219164663,27.0,4.937113327
NM_005407,SALL2,18.0,2.71611390909,12.0,2.94964222138
NM_005400,PRKCE,48.0,6.46356382423,29.0,9.73621741365
NM_005401,PTPN14,198.0,10.9481029739,88.0,18.3533293775
NM_005402,RALA,44.0,11.6390152849,14.0,16.7573876925
NM_003405,YWHAH,113.0,46.8455169526,54.0,54.1683284055
NM_005408,CCL13,0.0,-,0.0,-
NM_005409,CXCL11,0.0,-,0.0,-
NM_003110,SP2,18.0,4.29934997306,15.0,6.05301172465
NM_003111,SP3,276.0,32.2619147321,250.0,79.2103409833
NM_001331088,FAM122B,27.0,5.67091429055,9.0,8.19827029177
NM_006473,TAF6L,33.0,11.5977421811,30.0,11.9311370752
NM_006474,PDPN,0.0,-,0.0,-
NM_006475,POSTN,1.0,0.219914153783,1.0,0.296021441572
NM_006476,ATP5MG,56.0,31.1101278237,30.0,71.4720999795
NM_003117,SPAM1,0.0,-,0.0,-
NM_003118,SPARC,1043.0,215.953248718,548.0,446.637930047
NM_003119,SPG7,174.0,41.8156844885,141.0,43.8888975754
NM_001170820,IFITM10,6.0,1.20244244775,3.0,3.24589449689
NM_003045,SLC7A1,88.0,8.90797574578,31.0,12.191854515
NM_002016,FLG,0.0,-,0.0,-
NM_013318,PRRC2B,748.0,50.2754100878,570.0,63.331331641
NM_207197,ADAM15,100.0,24.9349157929,80.0,22.9416617218
NM_015833,ADARB1,17.0,1.79824495181,8.0,2.67137408728
NM_001164384,STAU2,13.0,2.29307734154,7.0,3.61331172119
NM_001257305,KRTAP1-4,0.0,-,0.0,-
NM_001257308,KIAA1024L,0.0,-,0.0,-
NM_001257309,KRTAP29-1,0.0,-,0.0,-
NM_001286401,TMEM217,0.0,-,0.0,-
NM_001318480,SH3TC1,19.0,3.1865719666,16.0,3.14378996473
NM_152744,SDK1,28.0,2.00198879512,22.0,2.46203198966
NM_024096,DCTPP1,51.0,33.8471444903,27.0,39.1215705151
NM_032251,CCDC88B,5.0,0.755396178645,3.0,0.503256492747
NM_032250,ANKRD20A1,0.0,-,0.0,-
NM_152740,HIBADH,20.0,7.44053893681,14.0,10.2931135084
NM_032256,TMEM117,6.0,1.4871153847,2.0,0.962213384838
NM_152742,GPC2,34.0,9.75396933723,31.0,13.242876456
NM_032526,NT5C1A,0.0,-,0.0,-
NM_182973,TMPRSS9,1.0,0.220894454617,1.0,0.233745232637
NM_032259,WDR24,21.0,4.77500967743,15.0,4.6985451314
NM_156039,CSF3R,0.0,-,0.0,-
NM_001004759,OR51T1,0.0,-,0.0,-
NM_000091,COL4A3,0.0,-,0.0,-
NM_001256370,SAMSN1,0.0,-,0.0,-
NM_145886,PIDD1,42.0,10.3786613268,39.0,10.6070558916
NM_001081573,GAB3,1.0,0.15648628206,1.0,0.421377460197
NM_001017998,GNG10,0.0,-,0.0,-
NM_001286379,FAM120B,57.0,7.78263425199,48.0,12.8851109822
NM_001017991,H2AFB2,0.0,-,0.0,-
NM_001017990,H2AFB1,0.0,-,0.0,-
NM_054031,MRGPRX3,1.0,0.453514240261,0.0,-
NM_001017992,ACTBL2,2.0,0.532075762195,2.0,1.31442942491
