AccNum,cdReads0_RNA_2,cdReads1_RNA_2,cdReads2_RNA_2,cdReads3_RNA_2,cdReads4_RNA_2
NM_001789,421,489,394,279,258
NM_004996,182,155,151,123,87
NM_001839,1430,1924,1659,994,772
NM_001316972,24,30,27,17,15
NM_181711,77,48,53,38,28
NM_001831,705,786,763,473,421
NM_001206950,1002,870,673,405,325
NM_005763,96,116,78,54,89
NM_001330566,61,100,86,60,55
NM_021973,5,5,3,1,5
NM_015873,32,33,68,35,39
NM_174889,31,31,23,16,15
NM_001100119,317,308,264,205,150
NM_001288661,673,834,795,513,374
NM_001294340,322,307,390,215,195
NM_001348067,679,737,651,465,365
NM_182645,157,148,111,56,69
NM_182647,12,5,5,4,3
NM_182640,201,287,263,179,128
NM_182643,301,487,447,314,374
NM_001113347,420,485,524,366,321
NM_005068,4,1,2,2,3
NM_001354375,158,167,109,93,92
NM_020782,232,242,211,135,166
NM_021975,208,207,222,130,107
NM_017789,876,722,598,302,243
NM_004663,370,484,360,283,181
NM_004661,291,337,293,183,143
NM_004667,839,796,505,311,423
NM_004664,23,34,27,25,27
NM_001167,41,61,37,31,38
NM_025222,270,350,293,192,112
NM_001161,51,71,63,34,31
NM_001321645,25,40,43,52,35
NM_001199469,5,7,3,5,6
NM_001317776,11,11,3,5,7
NM_001271208,742,1200,771,741,816
NM_001308384,47,40,49,40,33
NM_001143827,38,69,43,33,34
NM_001348322,1608,2355,1825,1480,1280
NM_001143823,58,68,58,37,34
NM_001321648,197,206,165,113,84
NM_001143821,53,94,75,59,47
NM_000784,206,193,137,84,99
NM_000785,18,17,19,14,13
NM_000786,738,922,643,492,475
NM_017780,1254,1419,918,645,635
NM_000788,98,117,101,63,73
NM_000789,15,9,7,4,10
NM_017781,2,6,6,1,3
NM_001142483,26,25,24,18,8
NM_017838,186,195,197,122,107
NM_017839,23,23,18,14,13
NM_017836,131,151,145,68,76
NM_017832,19,37,35,25,24
NM_017833,5,3,3,3,2
NM_032802,29,33,23,14,24
NM_022117,102,100,119,83,83
NM_172070,366,535,349,214,342
NM_020485,1,2,3,3,1
NM_016309,109,143,105,66,57
NM_016308,252,296,205,150,116
NM_016307,90,74,82,70,55
NM_016306,275,372,310,218,170
NM_016305,29,37,30,18,10
NM_016304,35,40,32,27,24
NM_016303,76,106,94,47,34
NM_016302,100,144,125,102,94
NM_022873,169,170,164,116,67
NM_001354955,9,15,17,9,4
NM_015963,1009,989,926,503,394
NM_015960,47,45,51,36,24
NM_001205029,2,2,2,2,5
NM_015965,1384,1393,1267,647,481
NM_015969,78,98,74,46,36
NM_024295,184,236,214,157,115
NM_153809,19,18,26,19,15
NM_001015508,5,3,1,2,1
NM_001284325,539,536,508,306,220
NM_138447,261,219,191,110,87
NM_138446,217,232,197,136,112
NM_138444,237,215,158,83,129
NM_138443,58,77,65,63,48
NM_138442,446,448,402,240,187
NM_138441,259,204,168,81,102
NM_138440,36,40,51,29,34
NM_181515,134,131,138,95,59
NM_172251,313,320,330,212,168
NM_001199282,352,510,283,210,261
NM_007313,1672,1836,1643,1098,935
NM_007314,544,885,683,493,610
NM_001143674,118,134,108,73,65
NM_001136534,84,81,90,43,68
NM_001136537,26,31,31,29,31
NM_139199,337,337,345,337,299
NM_020654,35,42,27,18,41
NM_001024660,35,42,38,23,19
NM_145803,65,70,64,38,36
NM_001032280,6,5,6,1,2
NM_001032282,171,308,282,247,186
NM_001032283,793,913,803,497,454
NM_015201,182,159,226,135,119
NM_020650,616,659,666,387,315
NM_001350912,1,4,3,3,4
NM_001350145,16,23,15,11,10
NM_001330057,206,296,200,187,157
NM_002923,118,133,143,122,92
NM_031157,61,89,84,53,25
NM_002921,4,9,9,4,2
NM_003514,4504,5991,5863,3372,2413
NM_020959,167,133,102,87,98
NM_002928,617,451,302,172,137
NM_024315,161,170,99,76,60
NM_001080522,76,137,113,75,62
NM_002158,199,286,203,139,142
NM_024310,21,10,11,5,3
NM_024313,130,169,162,83,62
NM_024319,140,145,124,81,94
NM_014043,17,20,23,21,13
NM_013349,315,374,309,195,175
NM_001283041,67,104,85,54,54
